White,Black,Winner,Total Turns,Time per Turn (s),Real Turns,Final Position,White Pawns,Black Pawns
StatEvalV2,StatEvalV4,White,120,1,45,6K1/1PP3P1/P7/2BNP1p1/8/8/p1R5/7r w - - 0 1,9,3
StatEvalV4,StatEvalV2,Black,120,1,38,8/r1P5/8/4P2b/1B2p3/7p/1pp5/1k6 w - - 0 1,3,7
StatEvalV4,StatEvalV2,Black,120,1,44,4b3/2P1BPn1/3Pp2P/P7/1p6/p2Qp1p1/5p1p/2r1r1k1 w - - 0 1,7,12
StatEvalV2,StatEvalV4,White,120,1,43,2R2RK1/2p2P2/P2P1N1P/5P2/B7/8/6Qp/4Q3 w - - 0 1,12,2
StatEvalV2,StatEvalV4,White,120,1,25,4R1K1/P1Q2PBP/2P5/8/8/pp2pP1p/5p2/2N5 w - - 0 1,10,5
StatEvalV4,StatEvalV2,Black,120,1,30,8/P3qP1P/8/8/3p4/1p5P/p3b3/5rk1 w - - 0 1,4,7
StatEvalV4,StatEvalV2,Black,120,1,30,7R/3nN3/5r1P/6P1/3pb3/1Q6/5ppp/4k2r w - - 0 1,5,9
StatEvalV2,StatEvalV4,White,120,1,19,R5KR/PPPB4/1B6/3P4/1p4P1/2pbp3/p1qnQ1pp/r6r w - - 0 1,11,11
StatEvalV2,StatEvalV4,White,120,1,7,R3K2q/PP1Q1P1P/2N1B1Pp/1nPP1N2/5b2/3p1n2/ppp1bpp1/r3B2r w - - 0 1,14,14
StatEvalV4,StatEvalV2,Black,120,1,42,8/2q5/6r1/8/P1Pb4/3p4/ppp2pp1/r3k3 w - - 0 1,2,11
StatEvalV4,StatEvalV2,Black,120,1,4,R6R/PP1qPP2/2P2NP1/7P/4ppBp/6p1/pQpn2b1/r4rk1 w - - 0 1,12,12
StatEvalV2,StatEvalV4,White,120,1,21,R3K2R/PP3P2/2P1PpP1/7P/3r1p1p/8/p5B1/8 w - - 0 1,11,5
StatEvalV2,StatEvalV4,White,120,1,7,R1B1K1NR/PPPP1PPP/2N5/8/8/2pp1bp1/pp1b3p/r2qQ1nr w - - 0 1,14,12
StatEvalV4,StatEvalV2,Black,120,1,16,2B4R/2P1bPP1/P2P3P/8/4N3/2pp4/pp2b1pp/r3k2r w - - 0 1,9,11
StatEvalV4,StatEvalV2,Black,120,1,32,7r/5P2/qb4P1/3P1b2/3p4/1p2p1n1/6pp/4r1k1 w - - 0 1,3,12
StatEvalV2,StatEvalV4,White,120,1,17,2R2RK1/3B1PPP/P2p4/1P6/N1Pq1p2/p4b2/2p2Qpp/r3r2n w - - 0 1,12,11
StatEvalV2,StatEvalV4,White,120,1,33,R4RK1/1B3PP1/P2BPN2/2P1P1Q1/2p5/1pp5/7p/r7 w - - 0 1,13,5
StatEvalV4,StatEvalV2,Black,120,1,32,b7/5P2/q5Pb/4r3/3n4/2P3p1/p4p1p/r2q2k1 w - - 0 1,3,12
StatEvalV4,StatEvalV2,Black,120,1,32,2R5/2p3p1/P1N5/8/2Q5/2P3pp/5pb1/rn2r2k w - - 0 1,5,10
StatEvalV2,StatEvalV4,White,120,1,61,6K1/2P2P1P/8/1P1BR1Pp/8/B7/8/8 w - - 0 1,9,1
StatEvalV2,StatEvalV4,White,120,1,19,5RK1/PP3PPP/2P5/8/6p1/4Qp2/1p4pB/5R2 w - - 0 1,11,4
StatEvalV4,StatEvalV2,Black,120,1,16,6q1/PP4PP/2P2P2/8/8/4pb1p/pp4p1/3r2k1 w - - 0 1,6,9
StatEvalV4,StatEvalV2,Black,120,1,10,R2Q1R2/PB2BPbP/1P2PNP1/1b1P4/3p4/4p2p/pp1nqpp1/r4rk1 w - - 0 1,13,14
StatEvalV2,StatEvalV4,White,120,1,49,6K1/4BPP1/1P2PN2/3P4/2B2p2/6P1/3Q4/R7 w - - 0 1,12,1
StatEvalV2,StatEvalV4,White,120,1,41,R3K2R/PP3PP1/2N2N2/8/1B3P2/3Q4/8/8 w - - 0 1,12,0
StatEvalV4,StatEvalV2,Black,120,1,54,8/2R5/4b3/8/3Pp3/6pp/8/3q2kr w - - 0 1,2,7
StatEvalV4,StatEvalV2,Black,120,1,28,R6R/2b3qP/P3b1P1/2P2P2/4p3/p4n2/p4ppp/r4rk1 w - - 0 1,7,13
StatEvalV2,StatEvalV4,White,120,1,11,R3K2R/PPP2P1P/6P1/8/4p1p1/3p4/pp4pp/r1b2rB1 w - - 0 1,10,10
