White,Black,Winner,Total Turns,Time per Turn (s),Real Turns,Final Position,White Pawns,Black Pawns
StatEvalV2,StatEvalV4,White,120,1,57,6K1/5P2/P1N5/8/3P4/4P1Bp/4Q1p1/5R2 w - - 0 1,9,2
StatEvalV4,StatEvalV2,Black,120,1,4,R5q1/PPQ2P2/2NB3P/2PN4/8/1p2Rn1p/pb3pp1/rn3rk1 w - - 0 1,11,12
StatEvalV4,StatEvalV2,Black,120,1,80,4R3/1r6/6p1/8/P2Q4/3n4/p1b3p1/7k w - - 0 1,3,7
StatEvalV2,StatEvalV4,White,120,1,41,6K1/1P3PPP/1P6/4N3/4B1p1/p6p/5R2/3R4 w - - 0 1,10,3
StatEvalV2,StatEvalV4,White,120,1,21,R5K1/PPn2BPP/1N6/8/4p3/3N4/p5pp/7Q w - - 0 1,10,5
StatEvalV4,StatEvalV2,Black,120,1,28,5r2/rPP3PP/5R2/4n3/4p3/1q1pb3/1p2b1pp/1n4k1 w - - 0 1,5,13
StatEvalV4,StatEvalV2,Black,120,1,42,4q3/1r5P/3P4/3n2P1/n1p5/3p2p1/5pkp/5r2 w - - 0 1,3,11
StatEvalV2,StatEvalV4,White,120,1,37,5K1R/3N1PB1/1P3N1P/4P1P1/q7/3p2p1/6Rp/1rr5 w - - 0 1,11,6
StatEvalV2,StatEvalV4,White,120,1,63,5K1R/6PP/4N3/8/1p4p1/7R/3B4/8 w - - 0 1,7,2
StatEvalV4,StatEvalV2,Black,120,1,26,R1n5/4q1PP/P1P1P3/8/2p5/3pb2p/pR3pp1/r4rk1 w - - 0 1,7,12
StatEvalV4,StatEvalV2,Black,120,1,56,8/5qPP/P7/1P6/2R5/pp1N3p/6rk/8 w - - 0 1,6,6
StatEvalV2,StatEvalV4,White,120,1,49,1N3R1K/8/P2nb2P/4p2N/p2Pp2p/3pB3/2Q3p1/3Q4 w - - 0 1,10,8
StatEvalV2,StatEvalV4,White,120,1,33,R1B3K1/P7/P2PP1PP/2N5/8/2p3B1/pp4p1/N7 w - - 0 1,12,4
StatEvalV4,StatEvalV2,Black,120,1,22,1R4q1/2P2P2/P2P2PP/2P5/3pB3/2p2n2/pp1n2pp/r1bq1rk1 w - - 0 1,9,14
StatEvalV4,StatEvalV2,Black,120,1,24,7q/P4PPb/2P4P/3P2n1/8/p1n1p3/1R3ppp/r3k2r w - - 0 1,7,12
StatEvalV2,StatEvalV4,White,120,1,43,R5K1/1Pq3P1/6NP/8/PQ2P3/6pp/3BB2R/r6r w - - 0 1,12,5
StatEvalV2,StatEvalV4,Draw,120,1,120,RN2K2R/PP3PPP/2P5/5B2/1p6/p1p1pQ2/q4p1p/r3kbr1 w - - 0 1,12,11
StatEvalV4,StatEvalV2,Black,120,1,14,RN5R/PP3PPP/4Bn2/8/1p1P4/4p3/3p1ppp/rn2kb1r w - - 0 1,10,12
StatEvalV4,StatEvalV2,Black,120,1,30,3q4/P5q1/8/4p3/3pn2P/4b3/pp2kp1p/r6r w - - 0 1,2,13
StatEvalV2,StatEvalV4,White,120,1,29,R1B2RK1/PP1N1QP1/3P3P/5P2/p2p1p2/2N2P1p/5p2/1r6 w - - 0 1,14,6
