White,Black,Winner,Total Turns,Time per Turn (s),Real Turns,Final Position,White Pawns,Black Pawns
StatEvalV4,StatEvalV3,Black,120,1,22,1R4q1/2P2P2/P2P2PP/2P5/3pB3/2p2n2/pp1n2pp/r1bq1rk1 w - - 0 1,9,14
StatEvalV4,StatEvalV3,Black,120,1,24,7q/P4PPb/2P4P/3P2n1/8/p1n1p3/1R3ppp/r3k2r w - - 0 1,7,12
StatEvalV3,StatEvalV4,White,120,1,51,6K1/1P4P1/4B2P/3N4/4Q2R/7p/2R2pp1/7r w - - 0 1,9,4
StatEvalV3,StatEvalV4,Draw,120,1,120,RN2K2R/PP3PPP/2P5/5B2/1p6/p1p1pQ2/q4p1p/r3kbr1 w - - 0 1,12,11
StatEvalV4,StatEvalV3,Black,120,1,14,RN5R/PP3PPP/4Bn2/8/1p1P4/4p3/3p1ppp/rn2kb1r w - - 0 1,10,12
StatEvalV4,StatEvalV3,Black,120,1,30,3q4/P5q1/8/4p3/3pn2P/4b3/pp2kp1p/r6r w - - 0 1,2,13
StatEvalV3,StatEvalV4,White,120,1,29,R1B2RK1/PP4P1/3P4/4N1p1/p1p1P3/5P2/3Q1p1p/8 w - - 0 1,12,5
StatEvalV3,StatEvalV4,White,120,1,39,R5K1/PPP3P1/1p3B2/8/7P/8/2N5/4r3 w - - 0 1,9,2
StatEvalV4,StatEvalV3,Black,120,1,36,8/P5r1/2P5/1P2P3/2b1p1p1/8/ppp1k3/8 w - - 0 1,4,8
StatEvalV4,StatEvalV3,Draw,120,1,120,1R3R1K/2PQBPP1/P2PNN1P/4PB2/1pp5/p1np2p1/1b1nppbp/r2q1rk1 w - - 0 1,15,16
StatEvalV3,StatEvalV4,White,120,1,37,R4RK1/2PN1P2/3P3P/1P6/p3P2p/4P3/7p/3Q4 w - - 0 1,12,3
StatEvalV3,StatEvalV4,White,120,1,33,4R1K1/P4P1P/2P5/2N5/4P2p/p3pp2/7B/8 w - - 0 1,9,4
StatEvalV4,StatEvalV3,Black,120,1,40,8/1r6/4q3/8/p2p4/3b3p/p7/6k1 w - - 0 1,0,8
StatEvalV4,StatEvalV3,Black,120,1,30,7R/3nN3/5r1P/6P1/3pb3/1Q6/5ppp/4k2r w - - 0 1,5,9
StatEvalV3,StatEvalV4,White,120,1,19,R5KR/PPPB4/1B6/3P4/1p4P1/2pbp3/p1qnQ1pp/r6r w - - 0 1,11,11
StatEvalV3,StatEvalV4,White,120,1,7,R3K2q/PP1Q1P1P/2N1B1Pp/1nPP1N2/5b2/3p1n2/ppp1bpp1/r3B2r w - - 0 1,14,14
StatEvalV4,StatEvalV3,Black,120,1,52,8/1r6/3q4/8/2nb4/p2p4/p1p2pp1/r4k2 w - - 0 1,0,12
StatEvalV4,StatEvalV3,Black,120,1,4,R6R/PP1qPP2/2P2NP1/7P/4ppBp/6p1/pQpn2b1/r4rk1 w - - 0 1,12,12
StatEvalV3,StatEvalV4,White,120,1,31,4K3/PP3P2/2P2pP1/5B2/p3PpP1/8/3R3R/4Q3 w - - 0 1,12,3
StatEvalV3,StatEvalV4,White,120,1,7,R1B1K1NR/PPPP1PPP/2N5/8/8/2pp1bp1/pp1b3p/r2qQ1nr w - - 0 1,14,12
StatEvalV4,StatEvalV3,Black,120,1,16,2B4R/2P1bPP1/P2P3P/8/4N3/2pp4/pp2b1pp/r3k2r w - - 0 1,9,11
StatEvalV4,StatEvalV3,Black,120,1,38,1b6/3r3P/8/2pb2P1/3p4/4p1np/2p3p1/2r3k1 w - - 0 1,2,12
StatEvalV3,StatEvalV4,White,120,1,17,2R2RK1/3B1PPP/P2p4/1P6/N1Pq1p2/p4b2/2p2Qpp/r3r2n w - - 0 1,12,11
StatEvalV3,StatEvalV4,White,120,1,39,R4RK1/5PP1/P2BP3/4P1Q1/1Pp5/2N2B1p/8/r7 w - - 0 1,13,3
StatEvalV4,StatEvalV3,Black,120,1,58,8/4b1q1/R7/n7/1Pp5/5Q1p/pp3p2/r3r1k1 w - - 0 1,3,11
StatEvalV4,StatEvalV3,Black,120,1,32,2R5/2p3p1/P1N5/8/2Q5/2P3pp/5pb1/rn2r2k w - - 0 1,5,10
StatEvalV3,StatEvalV4,White,120,1,39,2R3K1/2P2P2/P1N5/1P6/5PBP/BpN5/4Q3/8 w - - 0 1,13,1
StatEvalV3,StatEvalV4,White,120,1,19,5RK1/PP3PPP/2P5/8/6p1/4Qp2/1p4pB/5R2 w - - 0 1,11,4
StatEvalV4,StatEvalV3,Black,120,1,16,6q1/PP4PP/2P2P2/8/8/4pb1p/pp4p1/3r2k1 w - - 0 1,6,9
StatEvalV4,StatEvalV3,Black,120,1,10,R2Q1R2/PB2BPbP/1P2PNP1/1b1P4/3p4/4p2p/pp1nqpp1/r4rk1 w - - 0 1,13,14
StatEvalV3,StatEvalV4,White,120,1,49,R5K1/4BPP1/1P2PN2/3P4/8/5Q2/4BP2/8 w - - 0 1,12,0
StatEvalV3,StatEvalV4,White,120,1,15,R3K1NR/PP3PPP/2N5/2B3b1/q2P4/6p1/pp1Q1p1p/r5r1 w - - 0 1,13,9
StatEvalV4,StatEvalV3,Black,120,1,28,4N2R/PP2bP1P/Q7/4Pb2/1B1P4/1p1p1qpp/p1R2p1r/r5k1 w - - 0 1,11,12
StatEvalV4,StatEvalV3,Black,120,1,28,R6R/2b3qP/P3b1P1/2P2P2/4p3/p4n2/p4ppp/r4rk1 w - - 0 1,7,13
StatEvalV3,StatEvalV4,White,120,1,11,R3K2R/PPP2P1P/6P1/8/4p1p1/3p4/pp4pp/r1b2rB1 w - - 0 1,10,10
