White,Black,Winner,Total Turns,Time per Turn (s),Real Turns,Final Position,White Pawns,Black Pawns
StatEvalV3,StatEvalV4,White,120,1,57,6K1/5P2/P1N5/8/3P4/4P1Bp/4Q1p1/5R2 w - - 0 1,9,2
StatEvalV4,StatEvalV3,Black,120,1,4,R5q1/PPQ2P2/2NB3P/2PN4/8/1p2Rn1p/pb3pp1/rn3rk1 w - - 0 1,11,12
StatEvalV4,StatEvalV3,Black,120,1,52,8/6P1/2q2P2/2n1n2P/8/p2bp2p/1p1b1p2/6k1 w - - 0 1,3,11
StatEvalV3,StatEvalV4,White,120,1,49,5RK1/5PP1/P4B1P/8/2r5/5Bp1/5Q2/3R4 w - - 0 1,10,2
StatEvalV3,StatEvalV4,White,120,1,21,R5K1/PPn2BPP/1N6/8/4p3/3N4/p5pp/7Q w - - 0 1,10,5
StatEvalV4,StatEvalV3,Black,120,1,28,5r2/rPP3PP/5R2/4n3/4p3/1q1pb3/1p2b1pp/1n4k1 w - - 0 1,5,13
StatEvalV4,StatEvalV3,Black,120,1,42,4q3/1r5P/3P4/3n2P1/n1p5/3p2p1/5pkp/5r2 w - - 0 1,3,11
StatEvalV3,StatEvalV4,White,120,1,37,5K1R/3N1PB1/1P3N1P/4P1P1/q7/3p2p1/6Rp/1rr5 w - - 0 1,11,6
StatEvalV3,StatEvalV4,Draw,120,1,120,8/4BKPP/r7/1N6/1p2k2p/2R5/8/5R2 w - - 0 1,7,4
StatEvalV4,StatEvalV3,Black,120,1,26,R1n5/4q1PP/P1P1P3/8/2p5/3pb2p/pR3pp1/r4rk1 w - - 0 1,7,12
StatEvalV4,StatEvalV3,Black,120,1,20,R5n1/2QN1P1P/P5P1/1P1p4/1b1qR3/p4n1p/rp3pp1/5rk1 w - - 0 1,9,13
StatEvalV3,StatEvalV4,White,120,1,43,R6K/1N1R2P1/P6P/1p6/3Bp3/5p1p/1p1b2p1/r7 w - - 0 1,8,8
StatEvalV3,StatEvalV4,White,120,1,47,R1B3K1/PP3P2/2NN4/8/7P/6p1/p1q4p/5Q2 w - - 0 1,10,4
