White,Black,Winner,Total Turns,Time per Turn (s),Real Turns,Final Position,White Pawns,Black Pawns
StatEvalV2,StatEvalV1,Draw,120,1,120,6K1/1PP4P/3B4/5k2/8/2Q5/8/8 w - - 0 1,6,1
StatEvalV2,StatEvalV1,Draw,120,1,120,5RK1/1bP2PP1/P6P/2p1P3/pp6/6R1/2n2r2/2b4k w - - 0 1,9,8
StatEvalV1,StatEvalV2,Draw,120,1,120,8/rK6/4R3/2b5/6P1/p1n3p1/8/3r2k1 w - - 0 1,3,7
StatEvalV1,StatEvalV2,Draw,120,1,120,1N1Q2K1/5PBP/pP6/3P1P2/b1R5/4pn1p/p4pp1/3q1rk1 w - - 0 1,10,11
StatEvalV2,StatEvalV1,White,120,1,87,6K1/1P6/8/8/P2P4/7Q/5B2/8 w - - 0 1,6,0
StatEvalV2,StatEvalV1,Draw,120,1,120,6K1/P2R4/7P/2p1P3/8/1k6/8/8 w - - 0 1,5,2
StatEvalV1,StatEvalV2,Draw,120,1,120,2R5/8/2p2K2/8/1r1N4/5p1p/p4p2/5k2 w - - 0 1,3,7
StatEvalV1,StatEvalV2,Draw,120,1,120,q7/5P1P/PPKN3p/8/8/8/ppR2pp1/r5kr w - - 0 1,7,9
StatEvalV2,StatEvalV1,Draw,120,1,120,2R3K1/1P3P1P/P7/6r1/8/p2p4/1R6/r2k1b2 w - - 0 1,7,6
StatEvalV2,StatEvalV1,Black,120,1,52,6q1/8/P3P1P1/p3p2P/2p2p1p/6p1/5k2/8 w - - 0 1,4,8
StatEvalV1,StatEvalV2,Black,120,1,70,8/5rp1/8/7P/2P4p/2n3q1/2p5/6k1 w - - 0 1,2,7
StatEvalV1,StatEvalV2,Draw,120,1,120,8/8/8/3Kb3/3p3p/8/6pk/8 w - - 0 1,1,5
StatEvalV2,StatEvalV1,White,120,1,35,R1B5/PPPPN1KP/6P1/4N3/7p/pqpQ4/1p6/2R5 w - - 0 1,13,5
StatEvalV2,StatEvalV1,Draw,120,1,120,6K1/5PP1/P7/4Rp1P/2p5/r5p1/1R4np/5k2 w - - 0 1,7,7
StatEvalV1,StatEvalV2,Black,120,1,64,8/6n1/R6P/1P2p1P1/P1P5/p6p/2p3k1/4r3 w - - 0 1,6,7
StatEvalV1,StatEvalV2,Draw,120,1,120,3K4/8/1n6/8/P5R1/p1r3p1/8/7k w - - 0 1,3,5
StatEvalV2,StatEvalV1,Draw,120,1,120,5RK1/6P1/1r1PP1P1/8/4pB2/p4pNp/2R3b1/3nb1k1 w - - 0 1,9,9
StatEvalV2,StatEvalV1,Draw,120,1,120,1R2R1K1/2P2PP1/PBN1QN1P/1P2P3/1p2p1Bp/n1p2np1/p3qpb1/r1br2k1 w - - 0 1,15,15
StatEvalV1,StatEvalV2,Black,120,1,20,RN4r1/2P2P1P/PB3RP1/1P5Q/1p2p3/n1p2np1/p3qp2/r5k1 w - - 0 1,11,12
StatEvalV1,StatEvalV2,Black,120,1,38,6q1/4r3/8/8/7P/p6p/1p3pp1/6k1 w - - 0 1,1,8
StatEvalV2,StatEvalV1,Draw,120,1,120,3R2K1/qP4P1/6PP/2P5/4p1pp/pp3pQ1/4b3/5k2 w - - 0 1,8,9
StatEvalV2,StatEvalV1,Draw,120,1,120,4R1K1/Pn4PP/1B2P3/8/2r4p/5p2/1R6/7k w - - 0 1,8,5
StatEvalV1,StatEvalV2,Draw,120,1,120,1K6/8/8/2p5/P5n1/p5p1/1pN2p1k/8 w - - 0 1,3,7
StatEvalV1,StatEvalV2,Draw,120,1,120,8/8/8/B2b4/8/1rKp4/8/7k w - - 0 1,2,4
StatEvalV2,StatEvalV1,Draw,120,1,120,8/1r6/7K/p7/8/6P1/4k3/R7 w - - 0 1,3,3
StatEvalV2,StatEvalV1,White,120,1,81,6K1/1P3P2/P5P1/6p1/8/1N6/7Q/8 w - - 0 1,7,1
StatEvalV1,StatEvalV2,Draw,120,1,120,8/7r/4KP2/6P1/R3p2P/5p1p/6p1/6k1 w - - 0 1,5,6
