White,Black,Winner,Total Turns,Time per Turn (s),Real Turns,Final Position,White Pawns,Black Pawns
StatEvalV1,StatEvalV2,Black,120,1,4,R3R3/PPQ2Pb1/2NB3P/2P5/4N3/1p2pn1p/p4pp1/rn3rk1 w - - 0 1,11,12
StatEvalV2,StatEvalV1,Black,120,1,4,R3R3/PPQ2Pb1/2NB3P/2PN4/8/1p2pn1p/p4pp1/rn3rk1 w - - 0 1,11,12
StatEvalV2,StatEvalV1,Draw,120,1,120,2R3K1/1P4P1/P3P2P/8/4P3/pp5Q/1b6/3q2k1 w - - 0 1,9,5
StatEvalV1,StatEvalV2,Draw,120,1,120,B2QR1K1/7P/P4PP1/3P4/3n4/1qb1p2p/pp3pp1/2r3k1 w - - 0 1,9,11
StatEvalV1,StatEvalV2,Draw,120,1,120,8/2r5/5K2/7P/5P1R/p4r1p/1p6/6k1 w - - 0 1,4,6
StatEvalV2,StatEvalV1,Draw,120,1,120,5RK1/6P1/rP3P2/6P1/8/1pr4n/7k/3R4 w - - 0 1,7,5
StatEvalV2,StatEvalV1,Draw,120,1,120,6KR/3N1P2/1PQ1NB2/1nP1P1P1/2pP2p1/3p1p2/R3p3/1rbqnrk1 w - - 0 1,13,12
StatEvalV1,StatEvalV2,Draw,120,1,120,8/6q1/4K3/8/8/4p3/5p2/6k1 w - - 0 1,1,4
StatEvalV1,StatEvalV2,Draw,120,1,120,8/2B5/5r2/3K4/8/4b2p/8/6k1 w - - 0 1,2,4
StatEvalV2,StatEvalV1,Draw,120,1,120,8/1K6/5rP1/8/8/8/7k/2b5 w - - 0 1,2,3
StatEvalV2,StatEvalV1,Draw,120,1,120,8/6K1/P4P2/1P6/R7/7k/1b6/8 w - - 0 1,5,2
StatEvalV1,StatEvalV2,Black,120,1,78,4r3/3r4/7n/8/8/7p/5pp1/6k1 w - - 0 1,0,7
StatEvalV1,StatEvalV2,Black,120,1,68,8/8/4n2r/5bP1/P7/p4P1p/1p6/6k1 w - - 0 1,3,7
StatEvalV2,StatEvalV1,White,120,1,27,R1B2RK1/PP3P2/3PPNPP/8/1ppp1p2/p6p/6N1/rnb1qr2 w - - 0 1,13,11
StatEvalV2,StatEvalV1,Draw,120,1,120,5K2/8/P7/8/4r3/2N5/8/4kn2 w - - 0 1,3,3
StatEvalV1,StatEvalV2,Draw,120,1,120,1N4K1/8/RP6/4RP2/8/P3pn1p/5pp1/r1k4r w - - 0 1,7,8
StatEvalV1,StatEvalV2,Draw,120,1,120,2K2R2/8/6r1/2p5/3p4/2R1Np1p/6p1/1r4k1 w - - 0 1,4,8
StatEvalV2,StatEvalV1,Draw,120,1,120,1K2r3/8/7n/8/p1N1p2p/5pk1/8/R7 w - - 0 1,3,7
StatEvalV2,StatEvalV1,Draw,120,1,120,8/8/1r3K1P/7R/8/4kp2/8/8 w - - 0 1,3,3
StatEvalV1,StatEvalV2,White,120,1,119,8/1K6/8/8/3p4/P7/8/1Q2Q3 w - - 0 1,4,1
StatEvalV1,StatEvalV2,Draw,120,1,120,8/N7/1K6/8/8/3k4/8/8 w - - 0 1,2,1
