White,Black,Winner,Total Turns,Time per Turn (s),Real Turns,Final Position,White Pawns,Black Pawns
StatEvalV1,StatEvalV3,Black,120,1,4,R3R3/PPQ2Pb1/2NB3P/2P5/4N3/1p2pn1p/p4pp1/rn3rk1 w - - 0 1,11,12
StatEvalV3,StatEvalV1,Black,120,1,4,R3R3/PPQ2Pb1/2NB3P/2PN4/8/1p2pn1p/p4pp1/rn3rk1 w - - 0 1,11,12
StatEvalV3,StatEvalV1,Draw,120,1,120,2R3K1/1P4P1/P3P2P/8/4P3/pp5Q/1b6/3q2k1 w - - 0 1,9,5
StatEvalV1,StatEvalV3,Black,120,1,66,8/8/3q4/5BPr/P7/4p1pp/p7/6k1 w - - 0 1,3,7
StatEvalV1,StatEvalV3,Black,120,1,70,3r4/2r5/8/8/3n1n1P/p6p/1p6/6k1 w - - 0 1,1,8
StatEvalV3,StatEvalV1,Draw,120,1,120,2R2R2/7K/PP3P2/8/8/np2N3/4nr2/r6k w - - 0 1,7,6
StatEvalV3,StatEvalV1,Draw,120,1,120,6KR/3N1P2/1PQ1NB2/1nP1P1P1/2pP2p1/3p1p2/R3p3/1rbqnrk1 w - - 0 1,13,12
StatEvalV1,StatEvalV3,Draw,120,1,120,1N1K3B/n4P2/1p1NP3/6P1/3p2p1/3p3p/1b6/5rk1 w - - 0 1,7,9
StatEvalV1,StatEvalV3,Draw,120,1,120,8/8/1K6/5RP1/4k3/p4p2/1p4p1/8 w - - 0 1,3,5
StatEvalV3,StatEvalV1,Draw,120,1,120,6KR/5PP1/P6P/7p/p3N1p1/5r2/1P1R4/1r4k1 w - - 0 1,9,6
StatEvalV3,StatEvalV1,White,120,1,95,8/8/8/5P2/5K2/8/7R/8 w - - 0 1,3,0
StatEvalV1,StatEvalV3,Black,120,1,96,8/1q1pr3/8/8/8/8/1p3pp1/6k1 w - - 0 1,0,7
StatEvalV1,StatEvalV3,Black,120,1,82,2r5/8/8/4p1P1/8/7p/8/6k1 w - - 0 1,1,4
StatEvalV3,StatEvalV1,White,120,1,27,R1B2RK1/PP3P2/3PPNPP/8/1ppp1p2/p6p/6N1/rnb1qr2 w - - 0 1,13,11
StatEvalV3,StatEvalV1,Draw,120,1,120,q7/8/6K1/8/1q6/8/6k1/8 w - - 0 1,1,3
StatEvalV1,StatEvalV3,Black,120,1,50,1RR5/QP4n1/N7/8/8/4p2p/r4pp1/6kr w - - 0 1,5,8
StatEvalV1,StatEvalV3,Draw,120,1,120,K7/5q2/2N5/8/8/3R4/4k3/8 w - - 0 1,3,2
StatEvalV3,StatEvalV1,Draw,120,1,120,8/5KP1/4r2P/5p1p/5p2/2R1n1k1/8/8 w - - 0 1,4,6
StatEvalV3,StatEvalV1,White,120,1,55,6K1/6P1/7P/2N2p1p/8/4PBr1/8/4R3 w - - 0 1,7,3
StatEvalV1,StatEvalV3,Black,120,1,106,2b2qr1/8/8/8/p2b3P/4k2p/8/8 w - - 0 1,1,7
StatEvalV1,StatEvalV3,Draw,120,1,120,3K4/1R6/N7/P2r4/2p1p1b1/1p6/p3k2p/8 w - - 0 1,4,8
StatEvalV3,StatEvalV1,Draw,120,1,120,8/1P6/8/8/8/2P1NKP1/8/7k w - - 0 1,5,1
StatEvalV3,StatEvalV1,White,120,1,83,3R2K1/5PP1/3P4/1pB1p1P1/q7/p7/6b1/7Q w - - 0 1,8,5
StatEvalV1,StatEvalV3,Black,120,1,96,8/5r2/8/8/4nbp1/8/5k1p/8 w - - 0 1,0,6
StatEvalV1,StatEvalV3,Black,120,1,100,8/r7/8/8/4k3/7p/6p1/8 w - - 0 1,0,4
StatEvalV3,StatEvalV1,White,120,1,39,6K1/1P3P2/P6P/4p3/1p1P2pp/p1n5/4P1Q1/8 w - - 0 1,8,6
StatEvalV3,StatEvalV1,Black,120,1,78,1R6/P5q1/p2P2rP/7p/2p1k3/4p3/8/8 w - - 0 1,4,7
StatEvalV1,StatEvalV3,Draw,120,1,120,8/p7/8/1k5K/8/5p2/8/8 w - - 0 1,1,3
StatEvalV1,StatEvalV3,Draw,120,1,120,q7/5P1P/PPKN3p/8/8/8/ppR2pp1/r5kr w - - 0 1,7,9
StatEvalV3,StatEvalV1,White,120,1,91,5b2/1P5P/7p/4K3/1N6/8/8/3Q4 w - - 0 1,5,2
StatEvalV3,StatEvalV1,White,120,1,107,8/8/8/8/8/4K3/8/4Q3 w - - 0 1,2,0
StatEvalV1,StatEvalV3,Black,120,1,108,8/8/5p2/8/2p4p/4k3/8/8 w - - 0 1,0,4
StatEvalV1,StatEvalV3,Draw,120,1,120,K7/2p2r2/8/8/4q3/p6p/7k/8 w - - 0 1,1,6
StatEvalV3,StatEvalV1,White,120,1,35,R1B5/PPPPN1KP/6P1/4N3/7p/pqpQ4/1p6/2R5 w - - 0 1,13,5
StatEvalV3,StatEvalV1,Draw,120,1,120,R4RK1/5PPP/PN6/4p3/1pQP1p2/r1P4p/2p3p1/4qrkn w - - 0 1,11,11
StatEvalV1,StatEvalV3,Draw,120,1,120,B7/8/3R4/6K1/5kp1/8/2R5/8 w - - 0 1,4,2
StatEvalV1,StatEvalV3,Black,120,1,118,8/3n1p2/8/8/5p2/5kp1/8/8 w - - 0 1,0,5
StatEvalV3,StatEvalV1,Draw,120,1,120,5RK1/6P1/1r1PP1P1/8/4pB2/p4pNp/2R3b1/3nb1k1 w - - 0 1,9,9
StatEvalV3,StatEvalV1,Draw,120,1,120,4RRK1/2P2PP1/PBN1QN1P/1P2P3/1p2p1Bp/n1p2np1/p3qpb1/r1br2k1 w - - 0 1,15,15
StatEvalV1,StatEvalV3,Draw,120,1,120,RN1QR1K1/3B1P2/2P2NP1/PPB1P1b1/4p3/ppp2npp/4qpb1/rn3rk1 w - - 0 1,14,15
StatEvalV1,StatEvalV3,Black,120,1,22,1B5q/1P4P1/P1P2P1P/8/3R4/p3p2p/1p4p1/4r1k1 w - - 0 1,8,8
