White,Black,Winner,Total Turns,Time per Turn (s),Real Turns,Final Position,White Pawns,Black Pawns
StatEvalV1,StatEvalV4,White,120,1,25,RN2R1K1/8/1P1r1N2/P1P3nP/2q5/1p2p1pp/p1n2pQ1/3r4 w - - 0 1,10,11
StatEvalV4,StatEvalV1,Black,120,1,4,R5q1/PPQ2P2/2NB3P/2PN4/8/1p2Rn1p/pb3pp1/rn3rk1 w - - 0 1,11,12
StatEvalV4,StatEvalV1,Black,120,1,42,2q5/PP3Pb1/3R3P/8/4PN2/p3Q2p/4b3/nr5k w - - 0 1,8,8
StatEvalV1,StatEvalV4,White,120,1,33,5r1K/PP4PP/4qP2/8/8/r1b1p3/5ppp/6Q1 w - - 0 1,7,8
StatEvalV1,StatEvalV4,White,120,1,23,R5K1/PPP2BPP/1N6/8/4p3/8/p4Npp/3Q4 w - - 0 1,11,4
StatEvalV4,StatEvalV1,Black,120,1,74,4b3/n7/Pb6/3rp1pp/1p6/8/8/1r1q2k1 w - - 0 1,1,11
StatEvalV4,StatEvalV1,Black,120,1,32,q7/5P1P/3p3B/2n5/3Pp3/8/p3ppnp/1r1q1rk1 w - - 0 1,4,13
StatEvalV1,StatEvalV4,White,120,1,23,4K2R/3NPP1P/1P4P1/1r6/2p2p2/2Bpp3/6Qp/1r6 w - - 0 1,10,7
StatEvalV1,StatEvalV4,White,120,1,19,R2QK1NR/8/PP2PPPP/N1P5/4q3/bpn4p/p1ppbppB/r4r2 w - - 0 1,14,13
StatEvalV4,StatEvalV1,Black,120,1,46,8/1q3b2/8/8/2p1pb1P/6pp/r1p1np2/5rk1 w - - 0 1,1,13
StatEvalV4,StatEvalV1,Black,120,1,28,2R4R/3NnPP1/P6q/1P6/3Pp3/p2p2bp/rp3rp1/6k1 w - - 0 1,8,12
StatEvalV1,StatEvalV4,White,120,1,53,7K/R3B1p1/8/3R1N2/3P1p2/P2p4/6Q1/8 w - - 0 1,8,3
StatEvalV1,StatEvalV4,White,120,1,25,RNB3K1/PPP1N3/4p1P1/8/q7/2p2Qp1/pp2P2p/4r1B1 w - - 0 1,12,8
StatEvalV4,StatEvalV1,Black,120,1,26,3R4/P6q/1PB1P1PP/4B3/8/2p3p1/pp3n1p/rnb2rk1 w - - 0 1,8,12
StatEvalV4,StatEvalV1,Black,120,1,30,8/PP4P1/8/7b/1n6/4pn1p/5p2/r1b1k2r w - - 0 1,3,10
StatEvalV1,StatEvalV4,White,120,1,39,R4RK1/4N3/P4P2/7P/pN6/5p1p/3B1p2/8 w - - 0 1,9,4
StatEvalV1,StatEvalV4,White,120,1,45,1N2K2R/5P2/1PP2BPP/8/P3p2p/8/8/5BQ1 w - - 0 1,12,2
StatEvalV4,StatEvalV1,Black,120,1,48,8/6bP/1n6/8/1p4p1/3pp1p1/8/r3k2r w - - 0 1,1,10
StatEvalV4,StatEvalV1,Black,120,1,26,3q4/8/P5q1/3P3P/3p1pb1/1qn1p3/pp5p/r1b1k2r w - - 0 1,3,15
StatEvalV1,StatEvalV4,White,120,1,3,RNB2RK1/PP4P1/2PP1N1P/5P2/2ppPp2/1q2p3/pp2bp1p/rnb1Q2r w - - 0 1,15,14
StatEvalV1,StatEvalV4,White,120,1,29,RN2K3/PPP4P/8/8/4pP2/2p5/pR5B/8 w - - 0 1,10,3
StatEvalV4,StatEvalV1,Black,120,1,24,7r/1PP4P/P3B1P1/8/b2Pp2p/8/ppp5/r2k4 w - - 0 1,7,9
StatEvalV4,StatEvalV1,Draw,120,1,120,1R6/2PN1K2/b2P1P2/7P/n1p1Qp1p/p7/3q3k/r4r2 w - - 0 1,8,10
StatEvalV1,StatEvalV4,White,120,1,45,2R2RK1/4B1P1/P2P1P1P/3pP1p1/1P6/3N3p/8/1Q6 w - - 0 1,13,3
StatEvalV1,StatEvalV4,White,120,1,33,3Q2K1/3N1P1P/P7/3P3p/1BP5/6p1/6P1/8 w - - 0 1,10,2
StatEvalV4,StatEvalV1,Black,120,1,64,8/r7/8/6q1/4pn2/p4p2/7k/8 w - - 0 1,0,7
StatEvalV4,StatEvalV1,Black,120,1,14,R6R/PPq2Q2/4nP1P/3P1NP1/1p6/4p1b1/p2n2pp/r3k2r w - - 0 1,10,12
StatEvalV1,StatEvalV4,White,120,1,5,R3K2R/1PP1NQ1P/PBN2P2/3P2n1/1p6/2pbp1b1/p1qnBppp/r6r w - - 0 1,14,14
StatEvalV1,StatEvalV4,White,120,1,9,R3K2R/PP1Q1P1P/2N1B2p/2PN2q1/8/3p1nb1/p1p1bpp1/1r2B2r w - - 0 1,13,12
StatEvalV4,StatEvalV1,Black,120,1,26,R4R2/1P5r/P1N3P1/3pP1b1/8/2n2pp1/ppp5/r3k3 w - - 0 1,7,11
StatEvalV4,StatEvalV1,Black,120,1,6,R3q2R/PP3P2/2P2PP1/7P/5pBp/6p1/p1Qn2b1/r4rk1 w - - 0 1,11,10
StatEvalV1,StatEvalV4,White,120,1,17,R3K1NR/4PP2/P1P3P1/4pp1P/4n2p/4q1p1/p5B1/1r6 w - - 0 1,11,8
StatEvalV1,StatEvalV4,White,120,1,3,R1B1K1NR/PPPP1PPP/2N5/8/8/2pp1n2/pp1b2pp/r2qQb1r w - - 0 1,14,12
StatEvalV4,StatEvalV1,Black,120,1,6,R1B1q1NR/PPP2PPP/3P4/4N1n1/8/2pp4/pp1bb1pp/r3k2r w - - 0 1,12,13
StatEvalV4,StatEvalV1,Black,120,1,26,4n3/6P1/P4P1P/3b4/1pPp1b2/p3p3/6pp/r4rk1 w - - 0 1,5,12
StatEvalV1,StatEvalV4,White,120,1,31,6K1/7P/PN6/1P1P4/2P1P3/p7/2p2R1p/8 w - - 0 1,9,3
StatEvalV1,StatEvalV4,White,120,1,35,1N3RK1/5P1P/1R1B2P1/2PP4/8/2p3pp/7N/4r3 w - - 0 1,11,4
StatEvalV4,StatEvalV1,Black,120,1,64,2q1r3/8/7b/P2p4/7p/1pqP4/8/r6k w - - 0 1,2,9
StatEvalV4,StatEvalV1,Black,120,1,46,8/r7/4Q3/1pp1P1bP/1p2p3/8/4b3/1n4k1 w - - 0 1,3,9
StatEvalV1,StatEvalV4,White,120,1,15,R3R1K1/2P4P/P1N2P2/1PB1P2P/4p3/1pp2npQ/p3qp2/rnb5 w - - 0 1,13,11
StatEvalV1,StatEvalV4,Draw,120,1,120,1B1R1K2/4Q3/1P3Pb1/6PP/P1q5/4p1pp/pp3p2/3B2k1 w - - 0 1,10,9
StatEvalV4,StatEvalV1,Black,120,1,20,5q2/PP5P/2PB2P1/5P2/2b5/1p2Qp1p/p4p2/3r2k1 w - - 0 1,8,9
StatEvalV4,StatEvalV1,Black,120,1,30,R6R/1BQ2P2/P3P3/1P1P2p1/1p1p4/p3p3/3qb1p1/r4rk1 w - - 0 1,9,11
StatEvalV1,StatEvalV4,White,120,1,49,R2N2K1/8/BP1B3P/P5P1/4R3/p4p2/1Q4p1/8 w - - 0 1,11,3
StatEvalV1,StatEvalV4,White,120,1,33,1N3KNR/R6P/PP3P2/2B5/4q3/1p1p2p1/3Q3p/5r2 w - - 0 1,11,6
StatEvalV4,StatEvalV1,Black,120,1,34,n7/3n3P/b2B1pP1/8/3P4/3p3r/ppp2p2/r1bk4 w - - 0 1,4,13
StatEvalV4,StatEvalV1,Black,120,1,36,8/2P1b1BP/p5P1/4P3/8/p5pp/p4P1n/r2bqrk1 w - - 0 1,6,12
StatEvalV1,StatEvalV4,White,120,1,45,4K2R/7P/4p1P1/1P6/P2P1BQ1/p7/5p2/7R w - - 0 1,10,3
