Player_Bot,Profondeur,Temps_recursion,Nb de Feuilles,Nb d évaluations
AlphaBetaBotTimeMemo,2,0.023992538452148438,1376,0
AlphaBetaBotTimeMemo,3,0.24399995803833008,14489,0
AlphaBetaBotTime,1,0.0010020732879638672,40,40
AlphaBetaBotTime,2,0.019000768661499023,753,753
AlphaBetaBotTime,3,0.3229947090148926,15470,15470
AlphaBetaBotTimeMemo,1,0.001998424530029297,72,0
AlphaBetaBotTimeMemo,2,0.02199077606201172,1344,0
AlphaBetaBotTimeMemo,3,0.24700379371643066,14999,0
AlphaBetaBotTime,1,0.0009989738464355469,40,40
AlphaBetaBotTime,2,0.01800084114074707,731,731
AlphaBetaBotTime,3,0.2989981174468994,14361,14361
AlphaBetaBotTimeMemo,1,0.0019969940185546875,70,0
AlphaBetaBotTimeMemo,2,0.023999929428100586,1428,0
AlphaBetaBotTimeMemo,3,0.24900007247924805,15397,0
AlphaBetaBotTime,1,0.00099945068359375,43,43
AlphaBetaBotTime,2,0.018004417419433594,779,779
AlphaBetaBotTime,3,0.32199835777282715,15616,15616
AlphaBetaBotTimeMemo,1,0.001999378204345703,72,0
AlphaBetaBotTimeMemo,2,0.018000125885009766,1104,0
AlphaBetaBotTimeMemo,3,0.30199766159057617,19009,0
AlphaBetaBotTime,1,0.0009999275207519531,48,48
AlphaBetaBotTime,2,0.022999286651611328,1032,1032
AlphaBetaBotTime,3,0.3407468795776367,16668,16668
AlphaBetaBotTimeMemo,1,0.0010027885437011719,72,0
AlphaBetaBotTimeMemo,2,0.03099799156188965,2124,0
AlphaBetaBotTimeMemo,3,0.4743359088897705,29343,0
AlphaBetaBotTime,1,0.003996372222900391,48,48
AlphaBetaBotTime,2,0.01999950408935547,374,374
AlphaBetaBotTime,3,0.3380012512207031,13452,13452
AlphaBetaBotTimeMemo,1,0.0009996891021728516,68,0
AlphaBetaBotTimeMemo,2,0.01999974250793457,1162,0
AlphaBetaBotTimeMemo,3,0.3079996109008789,18193,0
AlphaBetaBotTime,1,0.0010004043579101562,50,50
AlphaBetaBotTime,2,0.01099848747253418,386,386
AlphaBetaBotTime,3,0.2800006866455078,13592,13592
AlphaBetaBotTimeMemo,1,0.0010006427764892578,72,0
AlphaBetaBotTimeMemo,2,0.03000020980834961,2072,0
AlphaBetaBotTimeMemo,3,0.3500020503997803,22361,0
AlphaBetaBotTime,1,0.0009999275207519531,42,42
AlphaBetaBotTime,2,0.010000467300415039,366,366
AlphaBetaBotTime,3,0.23041987419128418,10951,10951
AlphaBetaBotTimeMemo,1,0.0009984970092773438,72,0
AlphaBetaBotTimeMemo,2,0.015996694564819336,1014,0
AlphaBetaBotTimeMemo,3,0.26099467277526855,15849,0
AlphaBetaBotTime,1,0.0019674301147460938,36,36
AlphaBetaBotTime,2,0.01500082015991211,383,383
AlphaBetaBotTime,3,0.19700050354003906,7984,7984
AlphaBetaBotTimeMemo,1,0.0009989738464355469,74,0
AlphaBetaBotTimeMemo,2,0.015978336334228516,1050,0
AlphaBetaBotTimeMemo,3,0.270510196685791,17504,0
AlphaBetaBotTime,1,0.0009982585906982422,33,33
AlphaBetaBotTime,2,0.009996175765991211,407,407
AlphaBetaBotTime,3,0.25999903678894043,11063,11063
AlphaBetaBotTimeMemo,1,0.0010004043579101562,88,0
AlphaBetaBotTimeMemo,2,0.02699875831604004,1654,0
AlphaBetaBotTimeMemo,3,0.41699767112731934,24600,0
AlphaBetaBotTime,1,0.0010042190551757812,27,27
AlphaBetaBotTime,2,0.011998414993286133,515,515
AlphaBetaBotTime,3,0.07699799537658691,3752,3752
AlphaBetaBotTimeMemo,1,0.0009963512420654297,76,0
AlphaBetaBotTimeMemo,2,0.015208244323730469,1018,0
AlphaBetaBotTimeMemo,3,0.2429358959197998,15166,0
AlphaBetaBotTime,1,0.0009982585906982422,28,28
AlphaBetaBotTime,2,0.012521028518676758,570,570
AlphaBetaBotTime,3,0.0858604907989502,4122,4122
AlphaBetaBotTimeMemo,1,0.0019981861114501953,76,0
AlphaBetaBotTimeMemo,2,0.01599717140197754,1052,0
AlphaBetaBotTimeMemo,3,0.2350015640258789,14655,0
AlphaBetaBotTime,1,0.0,28,28
AlphaBetaBotTime,2,0.011101722717285156,549,549
AlphaBetaBotTime,3,0.0876467227935791,4341,4341
AlphaBetaBotTimeMemo,1,0.0009965896606445312,74,0
AlphaBetaBotTimeMemo,2,0.016000032424926758,1050,0
AlphaBetaBotTimeMemo,3,0.26999974250793457,17940,0
AlphaBetaBotTime,1,0.001001119613647461,30,30
AlphaBetaBotTime,2,0.009155511856079102,413,413
AlphaBetaBotTime,3,0.13575387001037598,6585,6585
AlphaBetaBotTime,4,1.2713308334350586,53679,53679
AlphaBetaBotTimeMemo,1,0.00099945068359375,72,0
AlphaBetaBotTimeMemo,2,0.01600170135498047,1020,0
AlphaBetaBotTimeMemo,3,0.24900126457214355,15808,0
AlphaBetaBotTime,1,0.001001119613647461,28,28
AlphaBetaBotTime,2,0.011997461318969727,539,539
AlphaBetaBotTime,3,0.08500051498413086,4108,4108
AlphaBetaBotTimeMemo,1,0.0010004043579101562,72,0
AlphaBetaBotTimeMemo,2,0.013999223709106445,984,0
AlphaBetaBotTimeMemo,3,0.2709958553314209,17180,0
AlphaBetaBotTime,1,0.0010008811950683594,30,30
AlphaBetaBotTime,2,0.00998544692993164,413,413
AlphaBetaBotTime,3,0.1289997100830078,6585,6585
AlphaBetaBotTime,4,1.2337985038757324,53679,53679
AlphaBetaBotTimeMemo,1,0.002000093460083008,72,0
AlphaBetaBotTimeMemo,2,0.015002012252807617,1020,0
AlphaBetaBotTimeMemo,3,0.24799799919128418,15808,0
AlphaBetaBotTime,1,0.0009996891021728516,28,28
AlphaBetaBotTime,2,0.011996984481811523,539,539
AlphaBetaBotTime,3,0.08500003814697266,4108,4108
AlphaBetaBotTimeMemo,1,0.0020012855529785156,72,0
AlphaBetaBotTimeMemo,2,0.01500391960144043,984,0
AlphaBetaBotTimeMemo,3,0.26399683952331543,17180,0
AlphaBetaBotTime,1,0.0010018348693847656,30,30
AlphaBetaBotTime,2,0.009999752044677734,413,413
AlphaBetaBotTime,3,0.13098812103271484,6585,6585
AlphaBetaBotTime,4,1.2540020942687988,53679,53679
AlphaBetaBotTimeMemo,1,0.0010006427764892578,72,0
AlphaBetaBotTimeMemo,2,0.01599860191345215,1020,0
AlphaBetaBotTimeMemo,3,0.25099968910217285,15808,0
AlphaBetaBotTime,1,0.0,28,28
AlphaBetaBotTime,2,0.012000799179077148,539,539
AlphaBetaBotTime,3,0.08700013160705566,4108,4108
AlphaBetaBotTimeMemo,1,0.0009975433349609375,72,0
AlphaBetaBotTimeMemo,2,0.014997482299804688,984,0
AlphaBetaBotTimeMemo,3,0.26199793815612793,17180,0
AlphaBetaBotTime,1,0.0009980201721191406,30,30
AlphaBetaBotTime,2,0.009998321533203125,413,413
AlphaBetaBotTime,3,0.1320054531097412,6585,6585
AlphaBetaBotTime,4,1.2289998531341553,53679,53679
AlphaBetaBotTimeMemo,1,0.0009965896606445312,72,0
AlphaBetaBotTimeMemo,2,0.014000177383422852,1020,0
AlphaBetaBotTimeMemo,3,0.2610001564025879,15808,0
AlphaBetaBotTime,1,0.0009982585906982422,28,28
AlphaBetaBotTime,2,0.013003826141357422,539,539
AlphaBetaBotTime,3,0.08800029754638672,4108,4108
AlphaBetaBotTimeMemo,1,0.0019989013671875,72,0
AlphaBetaBotTimeMemo,2,0.01600337028503418,984,0
AlphaBetaBotTimeMemo,3,0.2702291011810303,17180,0
AlphaBetaBotTime,1,0.0010018348693847656,30,30
AlphaBetaBotTime,2,0.008992910385131836,413,413
AlphaBetaBotTime,3,0.13300085067749023,6585,6585
AlphaBetaBotTime,4,1.2532103061676025,53679,53679
AlphaBetaBotTimeMemo,1,0.002000093460083008,72,0
AlphaBetaBotTimeMemo,2,0.015999794006347656,1020,0
AlphaBetaBotTimeMemo,3,0.2480001449584961,15808,0
