Player_Bot,Profondeur,Temps_recursion,Nb de Feuilles,Nb d évaluations
AlphaBetaBotTimeMemo,2,0.021999597549438477,688,688
AlphaBetaBotTimeMemo,3,0.24000096321105957,8075,6414
AlphaBetaBotTime,1,0.0010001659393310547,40,40
AlphaBetaBotTime,2,0.018994569778442383,753,753
AlphaBetaBotTime,3,0.33100032806396484,15470,15470
AlphaBetaBotTimeMemo,1,0.0009975433349609375,36,36
AlphaBetaBotTimeMemo,2,0.020999431610107422,672,672
AlphaBetaBotTimeMemo,3,0.21300005912780762,8420,6579
AlphaBetaBotTime,1,0.001001596450805664,40,40
AlphaBetaBotTime,2,0.01799941062927246,731,731
AlphaBetaBotTime,3,0.3099961280822754,14361,14361
AlphaBetaBotTimeMemo,1,0.000997304916381836,35,35
AlphaBetaBotTimeMemo,2,0.02200150489807129,714,714
AlphaBetaBotTimeMemo,3,0.2550046443939209,8591,6806
AlphaBetaBotTime,1,0.0019991397857666016,43,43
AlphaBetaBotTime,2,0.019001245498657227,779,779
AlphaBetaBotTime,3,0.33097386360168457,15616,15616
AlphaBetaBotTimeMemo,1,0.0009984970092773438,36,36
AlphaBetaBotTimeMemo,2,0.01800060272216797,552,552
AlphaBetaBotTimeMemo,3,0.30199432373046875,10250,8759
AlphaBetaBotTime,1,0.0010004043579101562,48,48
AlphaBetaBotTime,2,0.02300238609313965,1032,1032
AlphaBetaBotTime,3,0.350994348526001,16668,16668
AlphaBetaBotTimeMemo,1,0.0010006427764892578,36,36
AlphaBetaBotTimeMemo,2,0.030037641525268555,1062,1062
AlphaBetaBotTimeMemo,3,0.47431015968322754,16423,12920
AlphaBetaBotTime,1,0.001997709274291992,48,48
AlphaBetaBotTime,2,0.010001182556152344,374,374
AlphaBetaBotTime,3,0.2839987277984619,13452,13452
AlphaBetaBotTime,4,1.4890778064727783,46506,46506
AlphaBetaBotTimeMemo,1,0.001001119613647461,25,25
AlphaBetaBotTimeMemo,2,0.016000747680664062,495,495
AlphaBetaBotTimeMemo,3,0.40400075912475586,16037,10481
AlphaBetaBotTime,1,0.0010004043579101562,36,36
AlphaBetaBotTime,2,0.011998176574707031,471,471
AlphaBetaBotTime,3,0.20099949836730957,9425,9425
AlphaBetaBotTimeMemo,1,0.0010008811950683594,24,24
AlphaBetaBotTimeMemo,2,0.010999679565429688,317,317
AlphaBetaBotTimeMemo,3,0.1349949836730957,3504,2842
AlphaBetaBotTimeMemo,4,0.7929997444152832,27141,21985
AlphaBetaBotTime,1,0.000997781753540039,37,37
AlphaBetaBotTime,2,0.0069963932037353516,242,242
AlphaBetaBotTime,3,0.14499616622924805,6909,6909
AlphaBetaBotTime,4,1.0989975929260254,39532,39532
AlphaBetaBotTimeMemo,1,0.0010023117065429688,19,19
AlphaBetaBotTimeMemo,2,0.007998943328857422,287,287
AlphaBetaBotTimeMemo,3,0.05899810791015625,1879,1542
AlphaBetaBotTimeMemo,4,0.7380011081695557,22331,18216
AlphaBetaBotTime,1,0.0009996891021728516,33,33
AlphaBetaBotTime,2,0.009000062942504883,268,268
AlphaBetaBotTime,3,0.14000320434570312,6625,6625
AlphaBetaBotTime,4,1.5535953044891357,61103,61103
AlphaBetaBotTimeMemo,1,0.0,23,23
AlphaBetaBotTimeMemo,2,0.006998777389526367,173,173
AlphaBetaBotTimeMemo,3,0.031000375747680664,1262,871
AlphaBetaBotTimeMemo,4,0.31299734115600586,8861,7306
AlphaBetaBotTime,1,0.0009984970092773438,33,33
AlphaBetaBotTime,2,0.012000083923339844,541,541
AlphaBetaBotTime,3,0.22800230979919434,11589,11589
AlphaBetaBotTimeMemo,1,0.0009989738464355469,28,28
AlphaBetaBotTimeMemo,2,0.011999845504760742,326,326
AlphaBetaBotTimeMemo,3,0.11199784278869629,4540,3718
AlphaBetaBotTimeMemo,4,1.4795339107513428,51767,42183
AlphaBetaBotTime,1,0.0009963512420654297,35,35
AlphaBetaBotTime,2,0.011000871658325195,484,484
AlphaBetaBotTime,3,0.15599989891052246,7379,7379
AlphaBetaBotTime,4,0.9688575267791748,39168,39168
AlphaBetaBotTimeMemo,1,0.0010018348693847656,28,28
AlphaBetaBotTimeMemo,2,0.015001296997070312,484,484
AlphaBetaBotTimeMemo,3,0.233001708984375,8542,6020
AlphaBetaBotTime,1,0.0010020732879638672,32,32
AlphaBetaBotTime,2,0.007999181747436523,353,353
AlphaBetaBotTime,3,0.09400010108947754,4348,4348
AlphaBetaBotTime,4,1.0639989376068115,45701,45701
AlphaBetaBotTimeMemo,1,0.0010001659393310547,22,22
AlphaBetaBotTimeMemo,2,0.010997295379638672,355,355
AlphaBetaBotTimeMemo,3,0.08800125122070312,3364,2442
AlphaBetaBotTimeMemo,4,0.7990279197692871,27381,22139
AlphaBetaBotTime,1,0.0009996891021728516,32,32
AlphaBetaBotTime,2,0.008999109268188477,382,382
AlphaBetaBotTime,3,0.06600260734558105,2584,2584
AlphaBetaBotTime,4,1.497227430343628,70356,70356
AlphaBetaBotTimeMemo,1,0.0,18,18
AlphaBetaBotTimeMemo,2,0.007999181747436523,292,292
AlphaBetaBotTimeMemo,3,0.0840001106262207,3529,2654
AlphaBetaBotTimeMemo,4,0.7663755416870117,25414,21252
